import time: self [us] | cumulative | imported package
import time:      1298 |       7154 |                           secrets
import time:       817 |       8747 |                         numpy.random.bit_generator
import time:       689 |       9436 |                       numpy.random._bounded_integers
import time:       585 |        585 |                           numpy.random._pcg64
import time:      1739 |       2323 |                         numpy.random._generator
import time:       502 |        502 |                         numpy.random._mt19937
import time:       530 |        530 |                         numpy.random._philox
import time:       551 |        551 |                         numpy.random._sfc64
import time:      1471 |       1471 |                         numpy.random.mtrand
import time:       642 |       6016 |                       numpy.random._pickle
import time:       779 |      16230 |                     numpy.random
import time:      2402 |      18632 |                   pandas._typing
import time:       594 |        594 |                   pandas.util._exceptions
import time:      1458 |      20683 |                 pandas._config.config
import time:       896 |        896 |                 pandas._config.dates
import time:        56 |         56 |                     _locale
import time:      1111 |       1167 |                   locale
import time:       741 |       1908 |                 pandas._config.display
import time:       952 |      24437 |               pandas._config
import time:       316 |        316 |                 pandas.core
import time:      1187 |       1503 |               pandas.core.config_init
import time:       622 |        622 |                   pandas._libs.pandas_parser
import time:       384 |        384 |                   pandas._libs.pandas_datetime
import time:       492 |        492 |                               pandas._libs.tslibs.ccalendar
import time:       538 |        538 |                               pandas._libs.tslibs.np_datetime
import time:       999 |       2028 |                             pandas._libs.tslibs.dtypes
import time:       413 |        413 |                               pandas._libs.tslibs.base
import time:       553 |        553 |                                   pandas._libs.tslibs.nattype
import time:       732 |        732 |                                       pandas.compat._optional
import time:       585 |        585 |                                         zoneinfo._tzpath
import time:       426 |        426 |                                         zoneinfo._common
import time:       724 |        724 |                                         _zoneinfo
import time:      1096 |       2829 |                                       zoneinfo
import time:      1198 |       1198 |                                           six
import time:        40 |         40 |                                           six.moves
import time:       375 |        375 |                                           dateutil.tz._common
import time:       414 |        414 |                                           dateutil.tz._factories
import time:       774 |        774 |                                             ctypes.wintypes
import time:       543 |       1316 |                                           dateutil.tz.win
import time:      1744 |       5085 |                                         dateutil.tz.tz
import time:       767 |       5851 |                                       dateutil.tz
import time:      1317 |      10728 |                                     pandas._libs.tslibs.timezones
import time:      1885 |       1885 |                                         calendar
import time:      1827 |       3712 |                                       _strptime
import time:       213 |        213 |                                           fcntl
import time:        47 |         47 |                                           msvcrt
import time:      1119 |       1378 |                                         subprocess
import time:      1058 |       2435 |                                       pandas._config.localization
import time:       652 |       6798 |                                     pandas._libs.tslibs.fields
import time:      1145 |      18671 |                                   pandas._libs.tslibs.timedeltas
import time:       724 |        724 |                                   pandas._libs.tslibs.tzconversion
import time:       878 |      20825 |                                 pandas._libs.tslibs.timestamps
import time:       543 |        543 |                                 pandas._libs.properties
import time:      1700 |      23067 |                               pandas._libs.tslibs.offsets
import time:      1039 |       1039 |                                   _decimal
import time:       522 |       1561 |                                 decimal
import time:       342 |        342 |                                     dateutil._common
import time:      1609 |       1950 |                                   dateutil.parser._parser
